timestamp,user_id,status,verified,work_code,raw_data
"2025-10-16 12:58:38","333","Masuk","1","0","333	2025-10-16 12:58:38	0	1	0	0	0	0	0	0"
"2025-10-12 13:32:23","3470005","Keluar","1","0","3470005	2025-10-12 13:32:23	1	1	0	0	0	0	0	0"
"2025-10-12 13:32:34","3470001","Keluar","1","0","3470001	2025-10-12 13:32:34	1	1	0	0	0	0	0	0"
"2025-10-12 14:48:07","3470008","Keluar","1","0","3470008	2025-10-12 14:48:07	1	1	0	0	0	0	0	0"
"2025-10-12 14:48:10","3470008","Keluar","1","0","3470008	2025-10-12 14:48:10	1	1	0	0	0	0	0	0"
"2025-10-12 14:48:28","3470008","Keluar","1","0","3470008	2025-10-12 14:48:28	1	1	0	0	0	0	0	0"
"2025-10-12 14:51:13","3470005","Keluar","1","0","3470005	2025-10-12 14:51:13	1	1	0	0	0	0	0	0"
"2025-10-12 15:16:23","3470005","Masuk","1","0","3470005	2025-10-12 15:16:23	0	1	0	0	0	0	0	0"
"2025-10-12 15:28:03","3470028","Masuk","1","0","3470028	2025-10-12 15:28:03	0	1	0	0	0	0	0	0"
"2025-10-12 15:28:12","3470027","Masuk","1","0","3470027	2025-10-12 15:28:12	0	1	0	0	0	0	0	0"
"2025-10-12 15:28:20","3470026","Masuk","1","0","3470026	2025-10-12 15:28:20	0	1	0	0	0	0	0	0"
"2025-10-12 15:28:34","3470029","Masuk","1","0","3470029	2025-10-12 15:28:34	0	1	0	0	0	0	0	0"
"2025-10-12 15:33:11","3470030","Masuk","1","0","3470030	2025-10-12 15:33:11	0	1	0	0	0	0	0	0"
"2025-10-13 11:11:31","3470015","Masuk","1","0","3470015	2025-10-13 11:11:31	0	1	0	0	0	0	0	0"
"2025-10-13 11:11:37","3470008","Masuk","1","0","3470008	2025-10-13 11:11:37	0	1	0	0	0	0	0	0"
"2025-10-13 11:54:52","3470018","Masuk","1","0","3470018	2025-10-13 11:54:52	0	1	0	0	0	0	0	0"
"2025-10-13 12:02:28","3470001","Masuk","1","0","3470001	2025-10-13 12:02:28	0	1	0	0	0	0	0	0"
"2025-10-13 12:02:35","3470005","Masuk","1","0","3470005	2025-10-13 12:02:35	0	1	0	0	0	0	0	0"
"2025-10-13 12:03:15","4470003","Masuk","1","0","4470003	2025-10-13 12:03:15	0	1	0	0	0	0	0	0"
"2025-10-13 12:04:22","3470004","Masuk","1","0","3470004	2025-10-13 12:04:22	0	1	0	0	0	0	0	0"
"2025-10-13 12:06:53","3470012","Masuk","1","0","3470012	2025-10-13 12:06:53	0	1	0	0	0	0	0	0"
"2025-10-13 12:09:39","4470005","Masuk","1","0","4470005	2025-10-13 12:09:39	0	1	0	0	0	0	0	0"
"2025-10-13 12:13:16","3470021","Masuk","1","0","3470021	2025-10-13 12:13:16	0	1	0	0	0	0	0	0"
"2025-10-13 12:13:58","3470014","Masuk","1","0","3470014	2025-10-13 12:13:58	0	1	0	0	0	0	0	0"
"2025-10-13 12:14:05","3470007","Masuk","1","0","3470007	2025-10-13 12:14:05	0	1	0	0	0	0	0	0"
"2025-10-13 12:19:44","4470008","Masuk","1","0","4470008	2025-10-13 12:19:44	0	1	0	0	0	0	0	0"
"2025-10-13 12:23:55","3470005","Masuk","1","0","3470005	2025-10-13 12:23:55	0	1	0	0	0	0	0	0"
"2025-10-13 12:31:55","3470017","Masuk","1","0","3470017	2025-10-13 12:31:55	0	1	0	0	0	0	0	0"
"2025-10-13 12:34:04","4470009","Masuk","1","0","4470009	2025-10-13 12:34:04	0	1	0	0	0	0	0	0"
"2025-10-13 12:34:20","4470001","Masuk","1","0","4470001	2025-10-13 12:34:20	0	1	0	0	0	0	0	0"
"2025-10-13 12:35:29","4470007","Masuk","1","0","4470007	2025-10-13 12:35:29	0	1	0	0	0	0	0	0"
"2025-10-13 12:37:47","4470006","Masuk","1","0","4470006	2025-10-13 12:37:47	0	1	0	0	0	0	0	0"
"2025-10-13 12:38:23","3470002","Masuk","1","0","3470002	2025-10-13 12:38:23	0	1	0	0	0	0	0	0"
"2025-10-13 12:43:54","3470013","Masuk","1","0","3470013	2025-10-13 12:43:54	0	1	0	0	0	0	0	0"
"2025-10-13 13:22:45","3470020","Masuk","1","0","3470020	2025-10-13 13:22:45	0	1	0	0	0	0	0	0"
"2025-10-13 13:23:37","3470009","Masuk","1","0","3470009	2025-10-13 13:23:37	0	1	0	0	0	0	0	0"
"2025-10-13 13:44:42","3470010","Keluar","1","0","3470010	2025-10-13 13:44:42	1	1	0	0	0	0	0	0"
"2025-10-13 13:44:49","3470021","Keluar","1","0","3470021	2025-10-13 13:44:49	1	1	0	0	0	0	0	0"
"2025-10-13 15:07:54","3470020","Masuk","1","0","3470020	2025-10-13 15:07:54	0	1	0	0	0	0	0	0"
"2025-10-13 15:14:37","3470008","Keluar","1","0","3470008	2025-10-13 15:14:37	1	1	0	0	0	0	0	0"
"2025-10-13 15:16:07","3470007","Keluar","1","0","3470007	2025-10-13 15:16:07	1	1	0	0	0	0	0	0"
"2025-10-13 15:16:36","3470005","Keluar","1","0","3470005	2025-10-13 15:16:36	1	1	0	0	0	0	0	0"
"2025-10-13 15:17:00","3470015","Keluar","1","0","3470015	2025-10-13 15:17:00	1	1	0	0	0	0	0	0"
"2025-10-13 15:17:32","3470012","Keluar","1","0","3470012	2025-10-13 15:17:32	1	1	0	0	0	0	0	0"
"2025-10-13 15:17:45","3470017","Keluar","1","0","3470017	2025-10-13 15:17:45	1	1	0	0	0	0	0	0"
